,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,Dunedin,54,NZ,1603993480,93,-45.87,170.5,53.01,8.01
1,Butaritari,68,KI,1603993480,77,3.07,172.79,81.73,12.57
2,Bluff,86,NZ,1603992926,91,-46.6,168.33,52.0,3.0
3,Castro,100,BR,1603993480,59,-24.79,-50.01,71.15,12.06
4,Ndélé,88,CF,1603993480,53,8.41,20.65,78.35,2.08
5,Hilo,90,US,1603993388,73,19.73,-155.09,73.4,4.7
6,Tuktoyaktuk,93,CA,1603993480,93,69.45,-133.04,5.63,5.1
7,Nioki,17,CD,1603993481,91,-2.72,17.68,74.1,3.91
8,Khatanga,0,RU,1603993481,86,71.97,102.5,1.42,13.2
9,Jinchang,16,CN,1603993481,59,38.5,102.17,43.81,6.53
10,Yangi Marg`ilon,0,UZ,1603993481,39,40.43,71.72,44.6,4.7
11,Saint Paul Harbor,1,US,1603993209,74,57.79,-152.41,28.4,5.82
12,Lata,0,PT,1603993481,63,40.16,-8.33,63.0,4.7
13,La Trinidad,54,PH,1603993481,100,16.45,120.59,62.2,3.38
14,Bouna,5,CI,1603993482,35,9.27,-3.0,83.88,3.2
15,Okha,67,RU,1603993482,88,53.57,142.95,35.58,8.52
16,Ushuaia,75,AR,1603993232,81,-54.8,-68.3,46.4,34.45
17,Comodoro Rivadavia,0,AR,1603993482,36,-45.87,-67.5,62.6,10.29
18,Cape Town,40,ZA,1603993400,47,-33.93,18.42,57.99,9.17
19,Punta Arenas,40,CL,1603993482,61,-53.15,-70.92,51.8,43.62
20,Angoche,0,MZ,1603993482,77,-16.23,39.91,78.01,6.76
21,Kruisfontein,100,ZA,1603993299,90,-34.0,24.73,57.0,4.0
22,Thompson,73,CA,1603993463,94,55.74,-97.86,23.5,9.37
23,Kununurra,83,AU,1603993325,88,-15.77,128.73,78.8,1.12
24,Saint-Augustin,97,CA,1603993389,82,51.23,-58.65,35.98,8.9
25,Chokurdakh,73,RU,1603993312,92,70.63,147.92,-5.3,6.11
26,Caravelas,88,BR,1603993483,69,-17.71,-39.25,82.11,14.09
27,Lebu,0,CL,1603993483,67,-37.62,-73.65,54.05,21.81
28,Luena,19,AO,1603993483,68,-11.78,19.92,69.76,2.73
29,Pevek,99,RU,1603993484,93,69.7,170.31,18.18,8.1
30,Port Elizabeth,75,ZA,1603993484,87,-33.92,25.57,59.0,26.4
31,Albany,100,US,1603993273,90,42.6,-73.97,46.0,2.1
32,Kapaa,1,US,1603993306,93,22.08,-159.32,64.4,5.82
33,Lompoc,1,US,1603993484,43,34.64,-120.46,62.6,5.28
34,Vestmanna,30,FO,1603993484,93,62.16,-7.17,46.4,12.75
35,Palana,0,RU,1603993484,92,59.12,159.97,29.61,6.49
36,Rikitea,100,PF,1603993306,72,-23.12,-134.97,74.64,10.4
37,Santo Domingo,75,DO,1603993309,70,18.5,-69.99,89.6,6.98
38,Saldanha,11,ZA,1603993485,58,-33.01,17.94,57.2,11.41
39,Amuntai,99,ID,1603993485,94,-2.42,115.25,75.58,0.22
40,Mataura,82,NZ,1603993485,92,-46.19,168.86,52.0,3.0
41,Vao,0,NC,1603993485,84,-22.67,167.48,73.18,15.82
42,Alyangula,16,AU,1603993485,93,-13.85,136.42,64.4,2.3
43,Qaanaaq,0,GL,1603993486,73,77.48,-69.36,5.02,5.55
